,name,team,position,Games Played,Minutes Per Game,Field Goal Percentage,Free Throw Percentage,Three Pointers Per Game,Rebounds Per Game,Assists Per Game,Assists To Turnover Ratio,Steals Per Game,Blocks Per Game,Turnovers Per Game,Points Per Game
0,NikolaJokic,Den,C,79.0,33.9,Yes,Yes,No,Yes,Yes,2.35,Yes,Yes,Yes,Yes
1,GiannisAntetokounmpo,Mil,"PF,C",74.0,33.6,Yes,No,No,Yes,Yes,1.71,Yes,Yes,Yes,Yes
2,LukaDoncic,Dal,"PG,SG",73.0,35.8,No,No,Yes,Yes,Yes,1.98,Yes,No,Yes,Yes
3,LaMeloBall,Cha,PG,76.0,34.9,No,Yes,Yes,Yes,Yes,2.52,Yes,No,Yes,Yes
4,JoelEmbiid,Phi,C,69.0,32.9,Yes,Yes,No,Yes,Yes,1.26,Yes,Yes,Yes,Yes
5,JaysonTatum,Bos,"SF,PF",79.0,35.9,No,Yes,Yes,Yes,Yes,1.54,Yes,No,Yes,Yes
6,JaMorant,Mem,PG,74.0,35.3,Yes,No,No,No,Yes,2.03,Yes,No,Yes,Yes
7,TyreseHaliburton,Ind,"PG,SG",78.0,36.2,No,Yes,Yes,No,Yes,3.34,Yes,Yes,Yes,Yes
8,TraeYoung,Atl,PG,76.0,35.4,No,Yes,Yes,No,Yes,2.22,Yes,No,Yes,Yes
9,Karl-AnthonyTowns,Min,C,76.0,33.2,Yes,Yes,Yes,Yes,No,1.13,No,Yes,Yes,Yes
10,LeBronJames,LAL,"SF,PG,PF",66.0,34.2,Yes,No,Yes,Yes,Yes,1.7,Yes,Yes,Yes,Yes
11,DamianLillard,Por,PG,72.0,36.2,No,Yes,Yes,No,Yes,2.58,No,No,Yes,Yes
12,JamesHarden,Phi,"SG,PG",74.0,33.7,No,Yes,Yes,Yes,Yes,2.36,Yes,No,Yes,Yes
13,PascalSiakam,Tor,"PF,C",75.0,37.9,Yes,No,No,Yes,Yes,1.96,Yes,Yes,Yes,Yes
14,KevinDurant,Bkn,"SF,PF",65.0,36.0,Yes,Yes,Yes,Yes,Yes,1.74,No,Yes,Yes,Yes
15,DevinBooker,Phx,"SG,PG",74.0,35.2,No,Yes,Yes,No,Yes,1.93,Yes,No,Yes,Yes
16,CadeCunningham,Det,"PG,SG",75.0,35.5,No,Yes,Yes,Yes,Yes,1.73,Yes,Yes,Yes,Yes
17,NikolaVucevic,Chi,C,77.0,33.3,No,Yes,Yes,Yes,No,1.94,No,Yes,No,Yes
18,DeMarDeRozan,Chi,"SF,SG",78.0,35.9,Yes,Yes,No,No,Yes,2.09,No,No,Yes,Yes
19,DomantasSabonis,Sac,"PF,C",74.0,35.0,Yes,No,No,Yes,Yes,1.75,Yes,No,Yes,Yes
